date,Regional Price Parities,msa_state,city,title,id,frequency,seasonal_adjustment
2008-01-01,97.104,OH,Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2009-01-01,96.726,OH,Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2010-01-01,94.948,OH,Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2011-01-01,93.348,OH,Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2012-01-01,92.637,OH,Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2013-01-01,92.949,OH,Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2014-01-01,92.496,OH,Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2015-01-01,91.847,OH,Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2016-01-01,93.749,OH,Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2017-01-01,93.428,OH,Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2018-01-01,94.453,OH,Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2019-01-01,94.947,OH,Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2020-01-01,93.476,OH,Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2008-01-01,101.403,TX,Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2009-01-01,101.820,TX,Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2010-01-01,101.520,TX,Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2011-01-01,100.524,TX,Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2012-01-01,101.162,TX,Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2013-01-01,101.146,TX,Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2014-01-01,100.484,TX,Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2015-01-01,99.607,TX,Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2016-01-01,98.338,TX,Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2017-01-01,99.907,TX,Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2018-01-01,101.624,TX,Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2019-01-01,104.241,TX,Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2020-01-01,105.062,TX,Dallas,"Regional Price Parities: All Items for Dallas-Fort Worth-Arlington, TX (MSA)",RPPALL19100,Annual,Not Seasonally Adjusted
2008-01-01,93.615,GA,Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2009-01-01,89.896,GA,Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2010-01-01,94.236,GA,Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
2011-01-01,94.116,GA,Gainesville,"Regional Price Parities: All Items for Gainesville, GA (MSA)",RPPALL23580,Annual,Not Seasonally Adjusted
