date,All-Transactions House Price Index,msa_state,city,title,id,frequency,seasonal_adjustment
1986-10-01,79.69,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1987-01-01,82.95,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1987-04-01,83.19,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1987-07-01,81.27,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1987-10-01,81.83,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1988-01-01,85.85,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1988-04-01,87.5,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1988-07-01,87.2,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1988-10-01,85.91,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1989-01-01,88.67,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1989-04-01,88.7,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1989-07-01,90.6,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1989-10-01,90.54,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1990-01-01,91.32,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1990-04-01,92.81,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1990-07-01,94.25,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1990-10-01,93.55,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1991-01-01,95.01,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1991-04-01,94.04,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1991-07-01,96.32,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1991-10-01,98.79,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1992-01-01,98.79,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1992-04-01,98.83,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1992-07-01,99.13,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1992-10-01,99.97,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1993-01-01,99,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1993-04-01,100.25,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1993-07-01,101.05,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1993-10-01,102.02,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1994-01-01,101.73,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1994-04-01,101.58,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1994-07-01,100.14,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1994-10-01,101.66,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1995-01-01,100.00,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1995-04-01,101.84,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1995-07-01,102.67,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1995-10-01,104.28,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1996-01-01,105.9,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1996-04-01,106.28,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1996-07-01,107.5,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1996-10-01,109.69,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1997-01-01,110.21,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1997-04-01,111.88,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1997-07-01,114.73,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1997-10-01,116.62,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1998-01-01,117.61,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1998-04-01,120.48,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1998-07-01,124.74,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1998-10-01,127.37,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1999-01-01,131.37,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1999-04-01,136.76,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1999-07-01,140.39,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1999-10-01,143.52,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2000-01-01,146.88,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2000-04-01,150.45,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
2000-07-01,154.06,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
