date,Combined Violent and Property Crime Offenses,msa_state,city,county,state,title,id,frequency,seasonal_adjustment
2017-01-01,163.0,ID,Lewiston,Asotin County,WA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Asotin County, WA",FBITC053003,Annual,Not Seasonally Adjusted
2018-01-01,139.0,ID,Lewiston,Asotin County,WA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Asotin County, WA",FBITC053003,Annual,Not Seasonally Adjusted
2019-01-01,141.0,ID,Lewiston,Asotin County,WA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Asotin County, WA",FBITC053003,Annual,Not Seasonally Adjusted
2020-01-01,179.0,ID,Lewiston,Asotin County,WA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Asotin County, WA",FBITC053003,Annual,Not Seasonally Adjusted
2004-01-01,247.0,TX,Houston,Austin County,TX,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Austin County, TX",FBITC048015,Annual,Not Seasonally Adjusted
2005-01-01,239.0,TX,Houston,Austin County,TX,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Austin County, TX",FBITC048015,Annual,Not Seasonally Adjusted
2006-01-01,194.0,TX,Houston,Austin County,TX,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Austin County, TX",FBITC048015,Annual,Not Seasonally Adjusted
2007-01-01,167.0,TX,Houston,Austin County,TX,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Austin County, TX",FBITC048015,Annual,Not Seasonally Adjusted
2008-01-01,135.0,TX,Houston,Austin County,TX,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Austin County, TX",FBITC048015,Annual,Not Seasonally Adjusted
2009-01-01,144.0,TX,Houston,Austin County,TX,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Austin County, TX",FBITC048015,Annual,Not Seasonally Adjusted
2010-01-01,212.0,TX,Houston,Austin County,TX,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Austin County, TX",FBITC048015,Annual,Not Seasonally Adjusted
2011-01-01,230.0,TX,Houston,Austin County,TX,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Austin County, TX",FBITC048015,Annual,Not Seasonally Adjusted
2012-01-01,171.0,TX,Houston,Austin County,TX,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Austin County, TX",FBITC048015,Annual,Not Seasonally Adjusted
2013-01-01,144.0,TX,Houston,Austin County,TX,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Austin County, TX",FBITC048015,Annual,Not Seasonally Adjusted
2014-01-01,141.0,TX,Houston,Austin County,TX,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Austin County, TX",FBITC048015,Annual,Not Seasonally Adjusted
2015-01-01,135.0,TX,Houston,Austin County,TX,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Austin County, TX",FBITC048015,Annual,Not Seasonally Adjusted
