date,Resident Population,msa_state,city,county,state,title,id,frequency,seasonal_adjustment
2001-01-01,453.206,NY,New York,Richmond County,NY,"Resident Population in Richmond County, NY",NYRICH5POP,Annual,Not Seasonally Adjusted
2002-01-01,460.462,NY,New York,Richmond County,NY,"Resident Population in Richmond County, NY",NYRICH5POP,Annual,Not Seasonally Adjusted
2003-01-01,467.035,NY,New York,Richmond County,NY,"Resident Population in Richmond County, NY",NYRICH5POP,Annual,Not Seasonally Adjusted
2004-01-01,471.385,NY,New York,Richmond County,NY,"Resident Population in Richmond County, NY",NYRICH5POP,Annual,Not Seasonally Adjusted
2005-01-01,475.014,NY,New York,Richmond County,NY,"Resident Population in Richmond County, NY",NYRICH5POP,Annual,Not Seasonally Adjusted
2006-01-01,478.876,NY,New York,Richmond County,NY,"Resident Population in Richmond County, NY",NYRICH5POP,Annual,Not Seasonally Adjusted
2007-01-01,482.854,NY,New York,Richmond County,NY,"Resident Population in Richmond County, NY",NYRICH5POP,Annual,Not Seasonally Adjusted
2008-01-01,487.232,NY,New York,Richmond County,NY,"Resident Population in Richmond County, NY",NYRICH5POP,Annual,Not Seasonally Adjusted
2009-01-01,490.778,NY,New York,Richmond County,NY,"Resident Population in Richmond County, NY",NYRICH5POP,Annual,Not Seasonally Adjusted
2010-01-01,469.607,NY,New York,Richmond County,NY,"Resident Population in Richmond County, NY",NYRICH5POP,Annual,Not Seasonally Adjusted
2011-01-01,471.014,NY,New York,Richmond County,NY,"Resident Population in Richmond County, NY",NYRICH5POP,Annual,Not Seasonally Adjusted
2012-01-01,470.597,NY,New York,Richmond County,NY,"Resident Population in Richmond County, NY",NYRICH5POP,Annual,Not Seasonally Adjusted
2013-01-01,471.783,NY,New York,Richmond County,NY,"Resident Population in Richmond County, NY",NYRICH5POP,Annual,Not Seasonally Adjusted
2014-01-01,471.899,NY,New York,Richmond County,NY,"Resident Population in Richmond County, NY",NYRICH5POP,Annual,Not Seasonally Adjusted
2015-01-01,472.301,NY,New York,Richmond County,NY,"Resident Population in Richmond County, NY",NYRICH5POP,Annual,Not Seasonally Adjusted
2016-01-01,474.16,NY,New York,Richmond County,NY,"Resident Population in Richmond County, NY",NYRICH5POP,Annual,Not Seasonally Adjusted
2017-01-01,475.819,NY,New York,Richmond County,NY,"Resident Population in Richmond County, NY",NYRICH5POP,Annual,Not Seasonally Adjusted
2018-01-01,476.531,NY,New York,Richmond County,NY,"Resident Population in Richmond County, NY",NYRICH5POP,Annual,Not Seasonally Adjusted
2019-01-01,476.141,NY,New York,Richmond County,NY,"Resident Population in Richmond County, NY",NYRICH5POP,Annual,Not Seasonally Adjusted
2020-01-01,475.327,NY,New York,Richmond County,NY,"Resident Population in Richmond County, NY",NYRICH5POP,Annual,Not Seasonally Adjusted
