date,hpi,pred_1,pred_2,pred_3,pred_4,std_1,std_2,std_3,std_4,AIC,pval,naive_1,naive_2,naive_3,naive_4,city,p,d,q
2011-01-01,291.82410066139704,301.50898461454887,,,,7.032765647018716,,,,78.31109181989537,0.194209797767962,303.2458138409421,307.5272785933215,300.6017744797548,309.1915470237135,Charleston,1,1,0
2011-04-01,283.40880787223745,286.715480483464,300.80441831863874,,,7.586722871741562,12.132054314747489,,,80.02408178532151,0.22629334276835922,291.82410066139704,303.2458138409421,307.5272785933215,300.6017744797548,Charleston,1,1,0
2011-07-01,287.8915954186159,279.52371095459904,284.43053428387606,300.5186022707574,,7.062737076615676,13.34616082462038,16.40533547657225,,78.46371002554754,0.16991846481333756,283.40880787223745,291.82410066139704,303.2458138409421,307.5272785933215,Charleston,1,1,0
2011-10-01,291.74357154379743,289.62884018357295,277.73007424609534,283.4085402907498,300.4026574495238,7.363112340775134,12.508189534308046,18.284284722749305,20.041775610244343,79.30154152835945,0.22923589607130584,287.8915954186159,283.40880787223745,291.82410066139704,303.2458138409421,Charleston,1,1,0
2012-01-01,286.7105016938216,293.65496987527064,290.3020863149469,276.9020041334847,282.951430306202,7.005837507519711,12.593415278473016,17.215520771709322,22.537504894590043,78.33088810660524,0.17861166435469406,291.74357154379743,287.8915954186159,283.40880787223745,291.82410066139704,Charleston,1,1,0
2012-04-01,286.5360219390225,284.84110332277766,294.6034294354623,290.56299390986555,276.5197081489366,7.241662823924529,12.607883080471256,16.93491077649462,21.288915842206553,78.92505657681515,0.22705312640953684,286.7105016938216,291.74357154379743,287.8915954186159,283.40880787223745,Charleston,1,1,0
2012-07-01,288.2673979674141,286.50319290637543,284.14676559772533,295.07406683349,290.664105182421,6.537952564064699,12.291218866864368,17.549232468628848,20.612529203468323,76.56136197862294,0.38215734101679544,286.5360219390225,286.7105016938216,291.74357154379743,287.8915954186159,Charleston,1,1,0
2012-10-01,290.0793031134054,288.47324287713576,286.4970159984254,283.88887253228864,295.30760294796335,6.143613421748646,10.153230895684572,16.448339775024444,21.87746297106917,75.17028194869594,0.4238538925597954,288.2673979674141,286.5360219390225,286.7105016938216,291.74357154379743,Charleston,1,1,0
2013-01-01,290.2672043878045,290.17607605429515,288.4977159703076,286.4958537895893,283.7930850922568,6.080968782654193,9.219344897491355,12.925977021859529,19.956730146849733,74.93341628238639,0.4932982253711721,290.0793031134054,288.2673979674141,286.5360219390225,286.7105016938216,Charleston,1,1,0
2013-04-01,295.0318438457816,290.3144855651515,290.1812446483075,288.5006255991646,286.4956351155554,5.327894415240854,8.832429889124073,11.552059658604227,15.224070149703158,72.0859974149808,0.21700575730017266,290.2672043878045,290.0793031134054,288.2673979674141,286.5360219390225,Charleston,1,1,0
2013-07-01,301.58154541055006,296.8054799013563,290.32638282204056,290.1815207003094,288.5009715276513,4.899405590571438,8.535566308974865,10.92098844709563,13.492504822878129,70.32746869760209,0.09420093480891253,295.0318438457816,290.2672043878045,290.0793031134054,288.2673979674141,Charleston,1,1,0
2013-10-01,302.70895305694467,304.7101629275088,297.46571555725,290.3293765021777,290.18153544410774,5.060712768954684,8.318996642435813,11.042567993768122,12.670282631489155,71.15215826888652,0.05318761515997475,301.58154541055006,295.0318438457816,290.2672043878045,290.0793031134054,Charleston,1,1,0
2014-01-01,307.87623810291984,302.73624313227896,306.2046199604938,297.7114881439897,290.33012979521385,4.3085250662915096,9.029534637641316,11.135396867321736,13.123159639982411,67.35051785421302,0.5013489014357316,302.70895305694467,301.58154541055006,295.0318438457816,290.2672043878045,Charleston,1,1,0
2014-04-01,312.0905952572996,309.7812936711137,302.73690371695227,306.9184821732226,297.8029769387155,3.5771727527708337,6.167361319559139,12.492301313640176,13.512722885058382,63.402455064400414,0.19610846371020635,307.87623810291984,302.70895305694467,301.58154541055006,295.0318438457816,Charleston,1,1,0
2014-07-01,319.4724310372641,313.6528339759171,310.48364252270903,302.7369197070917,307.259475087381,3.5250931304607604,6.063571437783904,7.584958125961875,15.50516648622455,63.08162720642371,0.18182488412359468,312.0905952572996,307.87623810291984,302.70895305694467,301.58154541055006,Charleston,1,1,0
2014-10-01,327.6864010324246,324.8839319781107,314.2319471655553,310.7425819035718,302.7369200941497,3.1741348290081217,5.981038320329169,8.107716738622974,8.776524000458815,61.4004788339604,0.11344216191355562,319.4724310372641,312.0905952572996,307.87623810291984,302.70895305694467,Charleston,1,1,0
2015-01-01,332.28998225520246,334.4344435815725,328.85101324430013,314.4466211986697,310.8380467182566,2.8544862218286404,6.351108220304513,8.002190716843742,9.831834556032481,59.41620827176282,0.05311060078843539,327.6864010324246,319.4724310372641,312.0905952572996,307.87623810291984,Charleston,1,1,0
2015-04-01,342.03400548475565,335.8635215825917,339.97817922608294,331.75921448912686,314.52619966677946,2.9027331735235613,5.931551152872678,9.606005781645827,9.707663930137954,59.58293887463237,0.06521175404393342,332.28998225520246,327.6864010324246,319.4724310372641,312.0905952572996,Charleston,1,1,0
2015-07-01,351.6303919987095,350.1190216322523,338.63748878473695,344.5325377192872,333.8911684151768,3.393122478840059,5.9169289931211875,9.27169134322511,12.798527281546518,63.26050957390598,0.08367806869743455,342.03400548475565,332.28998225520246,327.6864010324246,319.4724310372641,Charleston,1,1,0
2015-10-01,358.5693176318762,359.8413319315332,356.8274914876018,340.7907864914672,348.2740908189847,3.3586775123630934,7.0752521796769585,9.093412216670979,12.720348318172565,63.18774632481842,0.07269179583166728,351.6303919987095,342.03400548475565,332.28998225520246,327.6864010324246,Charleston,1,1,0
