quarter,date,msa_state,year,city,hpi,weekly_wages,rpp,population,gdp,unemployment_rate,crimes,subprime,poverty,patents,private_establishments,premature_death_rate,snap
1,2008-01-01,SC,2008,Charleston,376.35997866595557,733.576515025872,97.641,647.194,27277.613,4.8,6905.0,42.54686035217932,13.983937250991389,0.0,16277.0,395.3275212097657,69915.0
2,2008-04-01,SC,2008,Charleston,370.51475049168306,728.1792634374659,97.641,647.194,27277.613,5.1,6905.0,42.2034986550961,13.983937250991389,4.0,16760.0,395.3275212097657,69915.0
3,2008-07-01,SC,2008,Charleston,358.8662455415181,732.47971390645,97.641,647.194,27277.613,6.0,6905.0,42.13878182932662,13.983937250991389,4.0,16960.0,395.3275212097657,69915.0
4,2008-10-01,SC,2008,Charleston,355.4541984732825,731.6800843605059,97.641,647.194,27277.613,7.0,6905.0,42.17747161905525,13.983937250991389,2.0,16680.0,395.3275212097657,69915.0
1,2009-01-01,SC,2009,Charleston,358.6984399479983,732.4658190126511,97.731,659.191,26938.842,8.2,9985.0,41.94558108841979,15.469245299375377,0.0,15846.0,386.56399967149235,85926.0
2,2009-04-01,SC,2009,Charleston,348.71400713357116,735.877670760549,97.731,659.191,26938.842,9.2,9985.0,41.80866248545783,15.469245299375377,0.0,15908.0,386.56399967149235,85926.0
3,2009-07-01,SC,2009,Charleston,335.14972165738857,745.535901032025,97.731,659.191,26938.842,9.7,9985.0,41.93398678326738,15.469245299375377,3.0,15967.0,386.56399967149235,85926.0
4,2009-10-01,SC,2009,Charleston,326.47976599219976,767.574507829599,97.731,659.191,26938.842,10.1,9985.0,42.30941967766112,15.469245299375377,0.0,15487.0,386.56399967149235,85926.0
1,2010-01-01,SC,2010,Charleston,322.14478815960535,725.3045874014639,98.728,667.495,28376.859,9.8,9815.0,41.895219558953464,16.268288301785034,0.0,15558.0,396.9015195619443,95406.0
2,2010-04-01,SC,2010,Charleston,313.19515650521686,771.758019245391,98.728,667.495,28376.859,9.4,9815.0,41.68400279664618,16.268288301785034,1.0,15397.0,396.9015195619443,95406.0
3,2010-07-01,SC,2010,Charleston,320.4107970265676,766.293224118016,98.728,667.495,28376.859,9.3,9815.0,41.782585247567894,16.268288301785034,1.0,15222.0,396.9015195619443,95406.0
4,2010-10-01,SC,2010,Charleston,315.9499649988333,787.130657216347,98.728,667.495,28376.859,9.2,9815.0,41.996849509742546,16.268288301785034,0.0,15520.0,396.9015195619443,95406.0
1,2011-01-01,SC,2011,Charleston,304.04975165838863,761.302854041282,99.636,681.449,30197.945,8.8,9522.0,41.430709880123715,16.853669313477607,1.0,15376.0,377.07051620884323,99800.0
2,2011-04-01,SC,2011,Charleston,295.2819093969799,787.930574582111,99.636,681.449,30197.945,8.8,9522.0,41.15531186873943,16.853669313477607,1.0,15648.0,377.07051620884323,99800.0
3,2011-07-01,SC,2011,Charleston,299.95249841661393,802.237707019624,99.636,681.449,30197.945,8.9,9522.0,41.44251087691963,16.853669313477607,0.0,15371.0,377.07051620884323,99800.0
4,2011-10-01,SC,2011,Charleston,303.96584886162873,779.8853336151931,99.636,681.449,30197.945,8.4,9522.0,41.902438743024945,16.853669313477607,0.0,15408.0,377.07051620884323,99800.0
1,2012-01-01,SC,2012,Charleston,298.7219240641355,809.311989242991,99.698,697.254,32514.042,7.9,6464.0,41.65364309927437,15.507106162173324,3.0,15476.0,377.95167858484854,102102.0
2,2012-04-01,SC,2012,Charleston,298.5401346711557,783.5263477963091,99.698,697.254,32514.042,7.8,6464.0,41.381310430992514,15.507106162173324,2.0,15648.0,377.95167858484854,102102.0
3,2012-07-01,SC,2012,Charleston,300.3440448014934,792.033583732804,99.698,697.254,32514.042,7.5,6464.0,41.47460622659938,15.507106162173324,8.0,15866.0,377.95167858484854,102102.0
4,2012-10-01,SC,2012,Charleston,302.23185772859097,792.8326987932941,99.698,697.254,32514.042,7.0,6464.0,41.540269851995454,15.507106162173324,3.0,16042.0,377.95167858484854,102102.0
1,2013-01-01,SC,2013,Charleston,302.42763092103075,808.665154586876,99.736,711.85,33082.174,6.7,8587.0,40.968726358115894,16.097607501580388,1.0,16059.0,366.88648142164783,100011.0
2,2013-04-01,SC,2013,Charleston,307.39187972932433,805.1780393144479,99.736,711.85,33082.174,6.5,8587.0,40.64964065479642,16.097607501580388,4.0,16297.0,366.88648142164783,100011.0
3,2013-07-01,SC,2013,Charleston,314.21597386579555,807.1449458816279,99.736,711.85,33082.174,6.2,8587.0,40.322536693373486,16.097607501580388,3.0,16584.0,366.88648142164783,100011.0
4,2013-10-01,SC,2013,Charleston,315.39061302043405,807.3078508015069,99.736,711.85,33082.174,5.7,8587.0,40.2942804656551,16.097607501580388,8.0,16231.0,366.88648142164783,100011.0
1,2014-01-01,SC,2014,Charleston,320.77437581252707,828.75826490925,100.042,727.578,34755.451,5.1,4584.0,39.35944661982286,15.135959168638966,4.0,16214.0,403.6560841586744,96332.0
2,2014-04-01,SC,2014,Charleston,325.16528884296144,834.2911889900729,100.042,727.578,34755.451,5.1,4584.0,38.723733986444536,15.135959168638966,1.0,16599.0,403.6560841586744,96332.0
3,2014-07-01,SC,2014,Charleston,332.85637854595154,831.780702829741,100.042,727.578,34755.451,5.5,4584.0,38.5422488385736,15.135959168638966,4.0,16870.0,403.6560841586744,96332.0
4,2014-10-01,SC,2014,Charleston,341.4144638154605,844.7726445241819,100.042,727.578,34755.451,5.7,4584.0,38.797274479499805,15.135959168638966,4.0,17278.0,403.6560841586744,96332.0
1,2015-01-01,SC,2015,Charleston,346.2109070302344,840.709894674696,99.72,746.144,37169.289,5.6,5623.0,38.48035237844917,14.115802177595745,11.0,17447.0,408.8697437760003,93348.0
2,2015-04-01,SC,2015,Charleston,356.3631454381813,850.204018939888,99.72,746.144,37169.289,5.4,5623.0,38.1928633053896,14.115802177595745,4.0,17754.0,408.8697437760003,93348.0
3,2015-07-01,SC,2015,Charleston,366.36156205206845,870.4509928374671,99.72,746.144,37169.289,5.0,5623.0,38.16023206608373,14.115802177595745,13.0,18241.0,408.8697437760003,93348.0
4,2015-10-01,SC,2015,Charleston,373.5911863728792,886.106963833706,99.72,746.144,37169.289,4.7,5623.0,37.925488491523986,14.115802177595745,13.0,18469.0,408.8697437760003,93348.0
1,2016-01-01,SC,2016,Charleston,371.4376812560419,852.091779806983,100.59,762.649,39659.001,4.6,3291.0,37.29949391590972,13.132753599624468,5.0,18706.0,424.95550469482026,87456.0
2,2016-04-01,SC,2016,Charleston,390.6094703156772,888.0289042964689,100.59,762.649,39659.001,4.5,3291.0,36.347060579539004,13.132753599624468,54.0,18809.0,424.95550469482026,87456.0
3,2016-07-01,SC,2016,Charleston,397.9789326310878,913.8065299122368,100.59,762.649,39659.001,4.1,3291.0,36.25204082404178,13.132753599624468,32.0,19248.0,424.95550469482026,87456.0
4,2016-10-01,SC,2016,Charleston,402.78935964532155,891.652282123486,100.59,762.649,39659.001,3.9,3291.0,36.38899516001721,13.132753599624468,14.0,19673.0,424.95550469482026,87456.0
1,2017-01-01,SC,2017,Charleston,410.7041901396713,916.481326706474,99.727,777.196,41089.131,3.8,433.0,35.85065877069065,12.18012843607018,17.0,19340.0,431.5073847523662,79994.0
2,2017-04-01,SC,2017,Charleston,420.9682989432982,916.8335809429112,99.727,777.196,41089.131,3.6,433.0,35.34707865100689,12.18012843607018,4.0,19608.0,431.5073847523662,79994.0
3,2017-07-01,SC,2017,Charleston,431.2743591453049,907.092033672233,99.727,777.196,41089.131,3.5,433.0,35.074364055001574,12.18012843607018,7.0,19927.0,431.5073847523662,79994.0
4,2017-10-01,SC,2017,Charleston,433.8753458448615,922.794219440683,99.727,777.196,41089.131,3.5,433.0,35.178531481749765,12.18012843607018,12.0,20336.0,431.5073847523662,79994.0
1,2018-01-01,SC,2018,Charleston,443.8178272609087,942.314838185865,98.463,790.14,43404.063,3.4,2900.0,34.482567499223094,13.15352038879186,20.0,20472.0,424.28653162730654,70690.0
2,2018-04-01,SC,2018,Charleston,448.5024000800027,926.089859615945,98.463,790.14,43404.063,2.9,2900.0,34.06011023868438,13.15352038879186,17.0,20951.0,424.28653162730654,70690.0
3,2018-07-01,SC,2018,Charleston,449.8028934297811,933.721733250901,98.463,790.14,43404.063,2.7,2900.0,34.2382711669185,13.15352038879186,12.0,20896.0,424.28653162730654,70690.0
4,2018-10-01,SC,2018,Charleston,453.0611187039568,948.179540991136,98.463,790.14,43404.063,2.7,2900.0,34.61440586100756,13.15352038879186,7.0,21346.0,424.28653162730654,70690.0
1,2019-01-01,SC,2019,Charleston,462.76587552918437,981.7978665745828,97.876,805.084,46191.045,2.9,4141.0,33.93463848856969,10.92816401766772,11.0,21929.0,423.675760914389,67239.0
2,2019-04-01,SC,2019,Charleston,470.6107870262343,969.967159031548,97.876,805.084,46191.045,2.7,4141.0,33.43218217916174,10.92816401766772,22.0,22169.0,423.675760914389,67239.0
3,2019-07-01,SC,2019,Charleston,475.05763525450857,976.398743018465,97.876,805.084,46191.045,2.1,4141.0,33.46448340531171,10.92816401766772,9.0,22686.0,423.675760914389,67239.0
4,2019-10-01,SC,2019,Charleston,477.65862195406515,984.820401372186,97.876,805.084,46191.045,1.9,4141.0,33.33801436371674,10.92816401766772,16.0,22717.0,423.675760914389,67239.0
1,2020-01-01,SC,2020,Charleston,485.6154038467949,990.729167436695,97.653,819.705,45592.224,2.3,4947.0,32.93259022245516,11.710124130022386,7.0,22950.0,,
2,2020-04-01,SC,2020,Charleston,489.95038167938935,1040.42496840062,97.653,819.705,45592.224,11.6,4947.0,31.883487821253443,11.710124130022386,25.0,23257.0,,
3,2020-07-01,SC,2020,Charleston,499.1796893229775,1053.34686140373,97.653,819.705,45592.224,7.9,4947.0,31.317539161595445,11.710124130022386,16.0,23708.0,,
4,2020-10-01,SC,2020,Charleston,507.8776125870863,1093.0879210593598,97.653,819.705,45592.224,5.1,4947.0,30.946473087595898,11.710124130022386,0.0,24162.0,,
1,2021-01-01,SC,2021,Charleston,521.5118170605688,1048.18248676081,,,,4.2,,0.0,,,24274.0,,
2,2021-04-01,SC,2021,Charleston,553.5626854228475,1098.66367942307,,,,4.5,,0.0,,,24359.0,,
3,2021-07-01,SC,2021,Charleston,587.9068968965632,,,,,3.6,,0.0,,,,,
1,2008-01-01,VA,2008,Charlottesville,355.9127039234641,804.5243745451871,100.652,195.012,9675.62,3.1,3042.0,26.144030276636446,11.227999313789029,16.0,6602.0,330.6426480118943,14438.0
2,2008-04-01,VA,2008,Charlottesville,348.18407913597116,794.583981683889,100.652,195.012,9675.62,3.3,3042.0,25.724996103560734,11.227999313789029,69.0,6644.0,330.6426480118943,14438.0
3,2008-07-01,VA,2008,Charlottesville,341.5700188339611,807.0966589189779,100.652,195.012,9675.62,3.7,3042.0,25.72285419011495,11.227999313789029,46.0,6686.0,330.6426480118943,14438.0
4,2008-10-01,VA,2008,Charlottesville,343.10987766258876,805.6323999366879,100.652,195.012,9675.62,4.1,3042.0,25.933825330433013,11.227999313789029,24.0,6736.0,330.6426480118943,14438.0
1,2009-01-01,VA,2009,Charlottesville,340.9980712690423,812.595901730763,99.089,196.766,9807.426,4.9,3171.0,25.74672079105059,12.363896518955924,14.0,6663.0,326.85590236245787,18783.0
2,2009-04-01,VA,2009,Charlottesville,332.1842126404213,804.981364116364,99.089,196.766,9807.426,5.7,3171.0,25.421246503299415,12.363896518955924,12.0,6674.0,326.85590236245787,18783.0
3,2009-07-01,VA,2009,Charlottesville,327.28599503316775,821.7243084024609,99.089,196.766,9807.426,6.1,3171.0,25.303982710292885,12.363896518955924,32.0,6685.0,326.85590236245787,18783.0
4,2009-10-01,VA,2009,Charlottesville,318.2521565718857,841.191794921653,99.089,196.766,9807.426,6.4,3171.0,25.5834724285928,12.363896518955924,41.0,6669.0,326.85590236245787,18783.0
1,2010-01-01,VA,2010,Charlottesville,319.381386379546,805.701137129552,101.305,201.913,10436.722,6.8,2965.0,25.0392682581271,12.304981164813588,36.0,6584.0,310.9893436222917,20700.0
2,2010-04-01,VA,2010,Charlottesville,313.7792333077769,837.572270959142,101.305,201.913,10436.722,6.8,2965.0,25.005714555104174,12.304981164813588,37.0,6650.0,310.9893436222917,20700.0
3,2010-07-01,VA,2010,Charlottesville,320.53994683156105,820.6142507669209,101.305,201.913,10436.722,6.5,2965.0,25.27264367926975,12.304981164813588,28.0,6675.0,310.9893436222917,20700.0
4,2010-10-01,VA,2010,Charlottesville,315.94970099003297,869.462433991824,101.305,201.913,10436.722,6.4,2965.0,25.14413957367908,12.304981164813588,30.0,6743.0,310.9893436222917,20700.0
1,2011-01-01,VA,2011,Charlottesville,310.9781567718924,833.4331385248739,101.866,203.683,10564.161,6.1,2722.0,25.2999205952271,13.216090538705295,35.0,6626.0,302.43378542326843,22662.0
2,2011-04-01,VA,2011,Charlottesville,302.3256166872229,855.613745012843,101.866,203.683,10564.161,5.8,2722.0,25.03487253589314,13.216090538705295,30.0,6690.0,302.43378542326843,22662.0
3,2011-07-01,VA,2011,Charlottesville,303.45484649488316,879.239363286707,101.866,203.683,10564.161,6.0,2722.0,24.83156512117724,13.216090538705295,85.0,6735.0,302.43378542326843,22662.0
4,2011-10-01,VA,2011,Charlottesville,310.0835721190706,832.842921908515,101.866,203.683,10564.161,5.9,2722.0,24.72588409063185,13.216090538705295,32.0,6800.0,302.43378542326843,22662.0
1,2012-01-01,VA,2012,Charlottesville,305.97728190939694,885.813891781282,99.237,205.636,10900.584,5.7,2748.0,24.10770942020673,13.658118065440243,40.0,6790.0,327.82764529179593,22544.0
2,2012-04-01,VA,2012,Charlottesville,300.74176189206304,873.371713760454,99.237,205.636,10900.584,5.5,2748.0,23.91854782930624,13.658118065440243,76.0,6813.0,327.82764529179593,22544.0
3,2012-07-01,VA,2012,Charlottesville,300.9177457581919,867.326676076745,99.237,205.636,10900.584,5.3,2748.0,24.000427662703757,13.658118065440243,57.0,6860.0,327.82764529179593,22544.0
4,2012-10-01,VA,2012,Charlottesville,303.27886262875427,865.2319721674071,99.237,205.636,10900.584,5.1,2748.0,24.3060002940562,13.658118065440243,42.0,6934.0,327.82764529179593,22544.0
1,2013-01-01,VA,2013,Charlottesville,301.7390038001267,880.239641869465,101.509,206.887,11216.885,5.0,2703.0,23.84273858185545,13.64765065322865,37.0,6929.0,334.8492347382845,21932.0
2,2013-04-01,VA,2013,Charlottesville,306.3879109303643,884.90490461269,101.509,206.887,11216.885,5.0,2703.0,23.682658681470013,13.64765065322865,21.0,6911.0,334.8492347382845,21932.0
3,2013-07-01,VA,2013,Charlottesville,303.5281731057702,875.765187015823,101.509,206.887,11216.885,4.9,2703.0,24.058407900512627,13.64765065322865,35.0,6953.0,334.8492347382845,21932.0
4,2013-10-01,VA,2013,Charlottesville,304.1294513150438,895.0721282356191,101.509,206.887,11216.885,4.8,2703.0,24.04067471510276,13.64765065322865,76.0,6975.0,334.8492347382845,21932.0
1,2014-01-01,VA,2014,Charlottesville,305.8159633654455,898.0413530090871,99.798,209.351,11537.726,4.6,2561.0,23.40494784996477,13.694971872003252,41.0,6946.0,323.27108318197685,20544.0
2,2014-04-01,VA,2014,Charlottesville,305.038701290043,911.886844512558,99.798,209.351,11537.726,4.6,2561.0,22.861609403116848,13.694971872003252,52.0,7036.0,323.27108318197685,20544.0
3,2014-07-01,VA,2014,Charlottesville,315.2017695589853,895.3057797616029,99.798,209.351,11537.726,4.6,2561.0,22.845944992235214,13.694971872003252,58.0,6983.0,323.27108318197685,20544.0
4,2014-10-01,VA,2014,Charlottesville,312.48868495616523,928.772472915934,99.798,209.351,11537.726,4.4,2561.0,23.075036736648045,13.694971872003252,43.0,7079.0,323.27108318197685,20544.0
1,2015-01-01,VA,2015,Charlottesville,315.5390719690656,921.201024008082,100.392,211.691,12179.082,4.2,2284.0,22.342126391008264,12.639347566600936,63.0,7092.0,355.60402906699665,19106.0
2,2015-04-01,VA,2015,Charlottesville,321.75716857228576,934.49318352198,100.392,211.691,12179.082,4.1,2284.0,22.39978854689433,12.639347566600936,54.0,7536.0,355.60402906699665,19106.0
3,2015-07-01,VA,2015,Charlottesville,323.57566852228405,966.809991420744,100.392,211.691,12179.082,3.8,2284.0,22.340378745779958,12.639347566600936,17.0,7715.0,355.60402906699665,19106.0
4,2015-10-01,VA,2015,Charlottesville,323.1357088569619,965.894152253375,100.392,211.691,12179.082,3.6,2284.0,22.369533789013694,12.639347566600936,14.0,7772.0,355.60402906699665,19106.0
1,2016-01-01,VA,2016,Charlottesville,321.63984599486645,903.235473368966,100.258,213.98,12573.855,3.5,2120.0,21.436787642627685,12.219903992658772,14.0,7764.0,333.8615135224046,17554.0
2,2016-04-01,VA,2016,Charlottesville,333.254781159372,964.384978730331,100.258,213.98,12573.855,3.4,2120.0,20.71254133179451,12.219903992658772,20.0,7850.0,333.8615135224046,17554.0
3,2016-07-01,VA,2016,Charlottesville,328.1219183972799,997.502309567666,100.258,213.98,12573.855,3.5,2120.0,21.14708821721873,12.219903992658772,18.0,7918.0,333.8615135224046,17554.0
4,2016-10-01,VA,2016,Charlottesville,332.5361803726791,949.737808562135,100.258,213.98,12573.855,3.6,2120.0,20.761450547458818,12.219903992658772,24.0,7692.0,333.8615135224046,17554.0
1,2017-01-01,VA,2017,Charlottesville,334.8533012767092,1001.732774485,100.161,216.488,13411.045,3.6,2095.0,20.369032069602778,11.353710380501342,13.0,7794.0,380.5427278254987,16341.0
2,2017-04-01,VA,2017,Charlottesville,345.07503083436114,983.2408090875348,100.161,216.488,13411.045,3.4,2095.0,20.310683108607552,11.353710380501342,12.0,7910.0,380.5427278254987,16341.0
3,2017-07-01,VA,2017,Charlottesville,344.92837761258704,992.018641709372,100.161,216.488,13411.045,3.3,2095.0,20.553095396347892,11.353710380501342,25.0,8025.0,380.5427278254987,16341.0
4,2017-10-01,VA,2017,Charlottesville,352.9356435214507,977.337225304506,100.161,216.488,13411.045,3.1,2095.0,20.611359467841115,11.353710380501342,27.0,8125.0,380.5427278254987,16341.0
1,2018-01-01,VA,2018,Charlottesville,359.24173205773525,1024.32857276373,99.418,217.739,14054.307,2.9,2218.0,20.035918901974206,12.413877187677027,31.0,8167.0,345.21910503831225,15446.0
2,2018-04-01,VA,2018,Charlottesville,366.4570705690189,998.9820776366788,99.418,217.739,14054.307,2.8,2218.0,19.7198348691152,12.413877187677027,31.0,8171.0,345.21910503831225,15446.0
3,2018-07-01,VA,2018,Charlottesville,362.7320787359578,1013.23212491138,99.418,217.739,14054.307,2.6,2218.0,20.373195288802833,12.413877187677027,58.0,8263.0,345.21910503831225,15446.0
4,2018-10-01,VA,2018,Charlottesville,360.13631671055697,1025.729766634,99.418,217.739,14054.307,2.6,2218.0,20.21469897246034,12.413877187677027,42.0,8332.0,345.21910503831225,15446.0
1,2019-01-01,VA,2019,Charlottesville,363.8319778992633,1040.6938032664698,96.573,219.16,14403.538,2.6,2117.0,19.981687178421378,10.97985391080603,68.0,8180.0,361.89198329200065,15456.0
2,2019-04-01,VA,2019,Charlottesville,375.10961065368843,981.45912546861,96.573,219.16,14403.538,2.5,2117.0,19.67826062510345,10.97985391080603,31.0,8169.0,361.89198329200065,15456.0
3,2019-07-01,VA,2019,Charlottesville,376.5468122270742,1027.21660190412,96.573,219.16,14403.538,2.4,2117.0,20.121424693260124,10.97985391080603,18.0,8125.0,361.89198329200065,15456.0
4,2019-10-01,VA,2019,Charlottesville,383.71815477182565,1010.99406023545,96.573,219.16,14403.538,2.3,2117.0,19.794027090093337,10.97985391080603,31.0,8035.0,361.89198329200065,15456.0
1,2020-01-01,VA,2020,Charlottesville,383.1168765625521,1027.44764782535,96.627,219.91,14183.665,2.2,2170.0,19.23049743039126,9.426219218991218,7.0,8014.0,,
2,2020-04-01,VA,2020,Charlottesville,389.26164655488515,1151.87643634736,96.627,219.91,14183.665,10.6,2170.0,18.516782932971196,9.426219218991218,30.0,8007.0,,
3,2020-07-01,VA,2020,Charlottesville,391.43211423714126,1091.03542885416,96.627,219.91,14183.665,7.3,2170.0,18.164624998933114,9.426219218991218,7.0,8042.0,,
4,2020-10-01,VA,2020,Charlottesville,395.5824004133471,1159.38214189217,96.627,219.91,14183.665,5.4,2170.0,18.271097080739413,9.426219218991218,18.0,8125.0,,
1,2021-01-01,VA,2021,Charlottesville,402.51909780326014,1099.50650391331,,,,4.7,,0.0,,,8135.0,,
2,2021-04-01,VA,2021,Charlottesville,422.2292908096937,1179.23555352071,,,,4.4,,0.0,,,8208.0,,
3,2021-07-01,VA,2021,Charlottesville,438.30248391613054,,,,,3.8,,0.0,,,,,
1,2008-01-01,OH,2008,Cincinnati,139.685502850095,843.707161669786,97.104,2158.643,102953.503,4.9,9565.0,32.41648792408162,11.390927623159133,211.0,50786.0,404.21877658201043,188706.0
2,2008-04-01,OH,2008,Cincinnati,138.11670389012966,838.0493501548931,97.104,2158.643,102953.503,5.2,9565.0,32.33214886435444,11.390927623159133,201.0,49946.0,404.21877658201043,188706.0
3,2008-07-01,OH,2008,Cincinnati,134.9434514483816,845.223694390367,97.104,2158.643,102953.503,6.0,9565.0,32.212767898547824,11.390927623159133,166.0,49599.0,404.21877658201043,188706.0
4,2008-10-01,OH,2008,Cincinnati,135.2732557751925,841.2351062806081,97.104,2158.643,102953.503,6.7,9565.0,32.68583051338773,11.390927623159133,204.0,49486.0,404.21877658201043,188706.0
1,2009-01-01,OH,2009,Cincinnati,136.91336377879261,830.991090318037,96.726,2171.896,101444.252,7.9,12321.0,32.33647140883031,12.629852060249428,163.0,49291.0,409.15445465296773,235217.0
2,2009-04-01,OH,2009,Cincinnati,134.45320177339244,841.4834075327569,96.726,2171.896,101444.252,9.3,12321.0,32.065683779113165,12.629852060249428,146.0,48964.0,409.15445465296773,235217.0
3,2009-07-01,OH,2009,Cincinnati,131.39582652755092,843.8320316678779,96.726,2171.896,101444.252,9.8,12321.0,32.01157029701188,12.629852060249428,188.0,49006.0,409.15445465296773,235217.0
4,2009-10-01,OH,2009,Cincinnati,131.9395579852662,868.717601314493,96.726,2171.896,101444.252,10.2,12321.0,32.64632067557786,12.629852060249428,177.0,49036.0,409.15445465296773,235217.0
1,2010-01-01,OH,2010,Cincinnati,130.9679722657422,836.230072630925,94.948,2140.963,105840.509,10.5,13334.0,32.27818055471236,13.973802696532658,142.0,48494.0,399.93472015978057,277549.0
2,2010-04-01,OH,2010,Cincinnati,130.52229074302477,867.4433670637289,94.948,2140.963,105840.509,10.3,13334.0,31.84162743989998,13.973802696532658,140.0,48907.0,399.93472015978057,277549.0
3,2010-07-01,OH,2010,Cincinnati,131.49387646254874,875.8012050510271,94.948,2140.963,105840.509,9.7,13334.0,32.03908879428542,13.973802696532658,194.0,49178.0,399.93472015978057,277549.0
4,2010-10-01,OH,2010,Cincinnati,131.10167672255741,900.800631678112,94.948,2140.963,105840.509,9.6,13334.0,32.388074428732345,13.973802696532658,220.0,49143.0,399.93472015978057,277549.0
1,2011-01-01,OH,2011,Cincinnati,127.01032034401148,863.114365545469,93.348,2146.885,111299.716,9.3,15369.0,31.814695857566228,14.439338482487413,234.0,48965.0,418.36430100327516,279978.0
2,2011-04-01,OH,2011,Cincinnati,125.73567118903964,899.1076953564709,93.348,2146.885,111299.716,9.0,15369.0,31.401783417404552,14.439338482487413,184.0,48913.0,418.36430100327516,279978.0
3,2011-07-01,OH,2011,Cincinnati,127.08162938764625,917.7790670337512,93.348,2146.885,111299.716,9.0,15369.0,31.334647157622864,14.439338482487413,209.0,49190.0,418.36430100327516,279978.0
4,2011-10-01,OH,2011,Cincinnati,127.54513817127237,886.291961271995,93.348,2146.885,111299.716,8.6,15369.0,31.603482296691524,14.439338482487413,212.0,49199.0,418.36430100327516,279978.0
1,2012-01-01,OH,2012,Cincinnati,126.60029334311143,931.055772219644,92.637,2153.475,114925.551,8.0,11842.0,31.185815432306303,14.976231659296511,275.0,48930.0,416.67038169128523,283621.0
2,2012-04-01,OH,2012,Cincinnati,126.05656188539616,912.791330099496,92.637,2153.475,114925.551,7.6,11842.0,30.98000868384591,14.976231659296511,200.0,49201.0,416.67038169128523,283621.0
3,2012-07-01,OH,2012,Cincinnati,126.68051601720057,924.481602570475,92.637,2153.475,114925.551,7.2,11842.0,31.25371641989956,14.976231659296511,181.0,49461.0,416.67038169128523,283621.0
4,2012-10-01,OH,2012,Cincinnati,126.33288442948097,935.342272496238,92.637,2153.475,114925.551,7.2,11842.0,31.47430125726798,14.976231659296511,234.0,49508.0,416.67038169128523,283621.0
1,2013-01-01,OH,2013,Cincinnati,125.95851195039835,939.530144330275,92.949,2163.183,118113.716,7.4,11884.0,30.645378549999563,14.329938421729153,189.0,49531.0,431.7531843474661,280653.0
2,2013-04-01,OH,2013,Cincinnati,126.02982099403312,936.754674944322,92.949,2163.183,118113.716,7.4,11884.0,30.355474158896136,14.329938421729153,208.0,49746.0,431.7531843474661,280653.0
3,2013-07-01,OH,2013,Cincinnati,126.21700723357444,918.918075631398,92.949,2163.183,118113.716,7.3,11884.0,30.362335671573675,14.329938421729153,241.0,50028.0,431.7531843474661,280653.0
4,2013-10-01,OH,2013,Cincinnati,125.566312210407,925.68918829503,92.949,2163.183,118113.716,7.0,11884.0,30.4249858809589,14.329938421729153,269.0,50283.0,431.7531843474661,280653.0
1,2014-01-01,OH,2014,Cincinnati,126.57355245174838,950.2047342179848,92.496,2173.558,123839.243,6.4,8147.0,29.70786146225903,14.073336076798423,269.0,50040.0,450.1473912669461,262359.0
2,2014-04-01,OH,2014,Cincinnati,128.67716923897464,950.542068539598,92.496,2173.558,123839.243,5.8,8147.0,29.245771957904243,14.073336076798423,254.0,50106.0,450.1473912669461,262359.0
3,2014-07-01,OH,2014,Cincinnati,129.73789126304212,961.5105509106488,92.496,2173.558,123839.243,5.4,8147.0,29.37879115449026,14.073336076798423,222.0,50331.0,450.1473912669461,262359.0
4,2014-10-01,OH,2014,Cincinnati,130.66490883029434,976.227416826672,92.496,2173.558,123839.243,5.0,8147.0,29.869074315521495,14.073336076798423,231.0,50498.0,450.1473912669461,262359.0
1,2015-01-01,OH,2015,Cincinnati,131.9484716157205,958.916979855078,91.847,2183.071,129891.317,4.8,10068.0,28.905075849636045,13.231969503517867,228.0,50711.0,461.48904073758933,248241.0
2,2015-04-01,OH,2015,Cincinnati,133.0270209006967,968.54985304658,91.847,2183.071,129891.317,4.7,10068.0,28.565711546946282,13.231969503517867,200.0,50797.0,461.48904073758933,248241.0
3,2015-07-01,OH,2015,Cincinnati,134.72952431747726,966.0929104046312,91.847,2183.071,129891.317,4.4,10068.0,28.6914597212821,13.231969503517867,286.0,51175.0,461.48904073758933,248241.0
4,2015-10-01,OH,2015,Cincinnati,135.2197739924664,1003.3928149644802,91.847,2183.071,129891.317,4.3,10068.0,28.606173369735224,13.231969503517867,309.0,51377.0,461.48904073758933,248241.0
1,2016-01-01,OH,2016,Cincinnati,135.6743691456382,969.409490059988,93.749,2193.676,137024.55,4.5,8423.0,27.924769095861574,12.639917647134693,229.0,51385.0,469.49430342779175,228069.0
2,2016-04-01,OH,2016,Cincinnati,138.3751991733058,998.552202258574,93.749,2193.676,137024.55,4.4,8423.0,27.655331593901675,12.639917647134693,223.0,51585.0,469.49430342779175,228069.0
3,2016-07-01,OH,2016,Cincinnati,140.7105703523451,1034.05419140597,93.749,2193.676,137024.55,4.3,8423.0,27.684091439545647,12.639917647134693,227.0,51987.0,469.49430342779175,228069.0
4,2016-10-01,OH,2016,Cincinnati,140.9690656355212,989.501609841863,93.749,2193.676,137024.55,4.4,8423.0,27.919901470001264,12.639917647134693,272.0,52088.0,469.49430342779175,228069.0
1,2017-01-01,OH,2017,Cincinnati,141.94065135504516,1032.3427274155,93.428,2205.111,141265.278,4.4,7580.0,27.252769078095085,12.02097086293174,304.0,52040.0,498.2910597417807,209010.0
