city,msa_state,date,year,quarter,hpi,weekly_wages,rpp,population,gdp,unemployment_rate,crimes,subprime,poverty,patents,private_establishments,premature_death_rate,snap
Napa,CA,2012-01-01,2012,1,590.5868688498144,930.547027998349,109.82,138.504,59.167908508057536,9.2,2.8519031941315776,25.89941972920696,9.7,0.007220008086409057,34.51163865303529,306.0,53.2475596372668
Napa,CA,2012-04-01,2012,2,587.790288756251,891.7019005884559,110.2605,138.7585,60.06120886288047,9.0,2.8754995189483887,25.59938128383604,9.7,0.007206765711650097,37.1004298835747,309.725,52.12653639236515
Napa,CA,2012-07-01,2012,3,606.7307630262945,889.392423774044,110.701,139.01299999999998,60.95123837338956,8.6,2.899009445159806,24.759892431809448,9.7,0.00719357182421788,35.406760518800404,313.45,51.00961780552899
Napa,CA,2012-10-01,2012,4,616.0421035650911,875.623614838018,111.1415,139.26749999999998,61.83801497118855,8.1,2.9224334464250457,24.280230326295584,9.7,0.007180426158292496,35.902130791462476,317.17499999999995,49.89678137397455
Napa,CA,2013-01-01,2013,1,645.4061945475077,903.856583459804,111.582,139.522,62.721556457046205,7.7,2.945771992947349,23.555300420972063,9.7,0.00716732844999355,35.055403448918455,320.9,48.788004759106094
Napa,CA,2013-04-01,2013,2,674.8338441684142,904.99833373091,112.08574999999999,139.72424999999998,64.05927389125367,7.2,2.7679518766427447,23.25004768262445,9.524999999999999,0.007156953785760168,35.95653581965908,315.375,49.43129055979904
Napa,CA,2013-07-01,2013,3,721.8036780125826,904.101798180362,112.58949999999999,139.92649999999998,65.39312424737274,6.9,2.5906458033324644,23.572744014732965,9.35,0.007146609112641281,36.3905336015694,309.85,50.07271674772113
Napa,CA,2013-10-01,2013,4,742.8733666720439,909.4075920112308,113.09325,140.12875,66.72312426964488,6.6,2.413851547237808,23.1023102310231,9.175,0.007136294300776965,36.90177782931768,304.325,50.7122913748963
Napa,CA,2014-01-01,2014,1,769.3137602839167,916.7441827706708,113.597,140.331,68.04929060578205,6.3,2.237566895411563,22.33984303705056,9.0,0.007126009221055932,36.891349737406564,298.8,51.35002244692905
Napa,CA,2014-04-01,2014,2,787.9364413615099,922.223621114958,113.2545,140.43975,69.24457463075802,5.9,2.3123795079384575,21.636893911775427,9.275,0.007120491171481009,36.60644511258386,306.3,51.42952760881445
Napa,CA,2014-07-01,2014,3,811.1989030488788,925.502189799144,112.912,140.5485,70.43800894353195,5.7,2.387076347310715,21.36783064953863,9.55,0.007114981661134769,36.948099766272854,313.8,51.50890973578516
Napa,CA,2014-10-01,2014,4,821.9085336344572,941.1856289743132,112.5695,140.65724999999998,71.6295978344522,5.5,2.46165768206047,21.22295726801359,9.825,0.007109480670210744,37.36032092195746,321.3,51.58816911321671
Napa,CA,2015-01-01,2015,1,819.4933053718341,951.5365733874388,112.227,140.766,72.81934558060895,5.0,2.5361237798900302,20.645391335353896,10.1,0.007103988178963671,37.28172996320134,328.8,51.66730602560278
Napa,CA,2015-04-01,2015,2,843.7409259557993,954.372528437968,112.5655,140.769,73.554569898202,4.7,2.489894792177255,20.07060900264784,9.55,0.008682467178300778,37.593504251646316,332.45,51.23109491436325
Napa,CA,2015-07-01,2015,3,879.4926601064687,983.762932375966,112.904,140.772,74.28976287898162,4.5,2.443667774841588,19.60232271687489,9.0,0.011050177276415449,37.92657630778848,336.1,50.79490239536272
Napa,CA,2015-10-01,2015,4,899.005162122923,1004.51043291025,113.2425,140.77499999999998,75.02492452495117,4.5,2.3974427277570594,19.42446043165468,8.45,0.013417786459874901,38.3022553720476,339.75,50.35872846741255
