date,Estimated Percent of People of All Ages in Poverty,msa_state,city,county,state,title,id,frequency,seasonal_adjustment
2018-01-01,8.7,VA,Charlottesville,Albemarle County,VA,"Estimated Percent of People of All Ages in Poverty for Albemarle County, VA",PPAAVA51003A156NCEN,Annual,Not Seasonally Adjusted
2019-01-01,6.7,VA,Charlottesville,Albemarle County,VA,"Estimated Percent of People of All Ages in Poverty for Albemarle County, VA",PPAAVA51003A156NCEN,Annual,Not Seasonally Adjusted
2020-01-01,6.3,VA,Charlottesville,Albemarle County,VA,"Estimated Percent of People of All Ages in Poverty for Albemarle County, VA",PPAAVA51003A156NCEN,Annual,Not Seasonally Adjusted
1989-01-01,17.6,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
1990-01-01,.,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
1991-01-01,.,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
1992-01-01,.,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
1993-01-01,16.4,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
1994-01-01,.,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
1995-01-01,15.4,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
1996-01-01,.,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
1997-01-01,15.6,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
1998-01-01,15.1,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
1999-01-01,15.2,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
2000-01-01,14.7,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
2001-01-01,13.7,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
2002-01-01,13.9,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
2003-01-01,14.5,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
2004-01-01,15.4,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
2005-01-01,17.6,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
2006-01-01,16.3,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
2007-01-01,14.1,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
2008-01-01,16.3,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
2009-01-01,15.0,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
2010-01-01,15.8,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
2011-01-01,17.2,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
2012-01-01,14.6,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
2013-01-01,16.8,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
2014-01-01,16.3,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
2015-01-01,15.7,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
2016-01-01,14.6,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
2017-01-01,12.9,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
2018-01-01,14,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
2019-01-01,13.8,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
2020-01-01,14.1,ID,Lewiston,Asotin County,WA,"Estimated Percent of People of All Ages in Poverty for Asotin County, WA",PPAAWA53003A156NCEN,Annual,Not Seasonally Adjusted
1989-01-01,14.0,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
1990-01-01,.,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
1991-01-01,.,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
1992-01-01,.,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
1993-01-01,14.6,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
1994-01-01,.,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
1995-01-01,14.1,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
1996-01-01,.,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
1997-01-01,13.1,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
1998-01-01,11.7,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
1999-01-01,11.5,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
2000-01-01,10.7,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
2001-01-01,10.6,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
2002-01-01,10.1,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
2003-01-01,11.3,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
2004-01-01,11.2,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
2005-01-01,11.9,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
2006-01-01,11.5,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
2007-01-01,10.9,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
2008-01-01,10.6,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
2009-01-01,11.0,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
2010-01-01,12.5,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
2011-01-01,13.0,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
2012-01-01,11.8,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
2013-01-01,13.6,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
2014-01-01,11.2,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
2015-01-01,12.7,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
2016-01-01,14.3,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
2017-01-01,10.7,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
2018-01-01,10.2,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
2019-01-01,11.1,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
2020-01-01,11.4,TX,Houston,Austin County,TX,"Estimated Percent of People of All Ages in Poverty for Austin County, TX",PPAATX48015A156NCEN,Annual,Not Seasonally Adjusted
1989-01-01,10.3,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
1990-01-01,.,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
1991-01-01,.,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
1992-01-01,.,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
1993-01-01,10.0,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
1994-01-01,.,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
1995-01-01,8.7,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
1996-01-01,.,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
1997-01-01,9.3,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
1998-01-01,9.7,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
1999-01-01,9.8,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
2000-01-01,9.5,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
2001-01-01,9.4,WA,Kennewick,Benton County,WA,"Estimated Percent of People of All Ages in Poverty for Benton County, WA",PPAAWA53005A156NCEN,Annual,Not Seasonally Adjusted
